광역시도,기준년월,카드이용금액계,카드이용건수계
충남,201705,257340342213.9,10902414.6
충북,201801,205722968676.16,8131128.56
충북,201711,214366778556.21,9019942.02
충북,201712,239025351412.32,9003055.38
충북,201703,223017052226.69,9340927.14
충북,201710,242173105888.32,10395817.56
충북,201705,243321844941.55,10423782.35
충북,201808,247345709295.08,10337001.3
강원,201810,263766762992.3,10063484.36
강원,201809,257105437665.48,9847262.07
경기,201812,2036155594055.94,84719483.55
경남,201811,327338335053.87,12032682.76
광주,201810,170098027284.01,7090593.09
대구,201811,235091574100.76,9991454.2
대전,201809,214112719247.77,10034870.66
서울,201809,1961251296400.84,99968554.58
울산,201809,136920133264.46,5079371.16
인천,201812,459566049544.7,19003126.1
인천,201809,419294429727.54,19255336.14
인천,201811,403945211137.68,18431919.36
전남,201810,185796564378.04,6401471.23
전북,201812,188599856533.0,6924082.0
제주,201812,141153624955.02,4340455.94
충남,201811,262391373427.16,11223847.96
충남,201810,279395295174.2,12097401.4
충남,201809,269656367607.32,11771235.56
강원,201812,267986414756.22,9560850.18
경기,201809,1922603874760.8,88997235.36
경남,201810,340243618921.21,12799371.85
경남,201809,330352003872.0,12362748.16
경북,201810,259603899202.72,10557933.81
광주,201812,184360882764.21,6803810.7
광주,201809,167147478869.92,6860933.48
대구,201809,240980775683.4,10374842.79
부산,201812,451460456954.22,16863058.1
서울,201812,2294100922076.16,100960165.44
서울,201811,2056012937641.53,102482649.36
울산,201811,139942500045.12,5110686.0
울산,201810,143931091966.86,5359384.47
전남,201811,179051856336.16,6022779.88
전북,201811,174841319491.02,6858251.4
전북,201810,185687485210.56,7381666.56
경기,201810,1968305477683.56,92131729.74
경남,201812,357235260703.2,12218520.42
경북,201811,248174849362.77,9851637.69
광주,201811,164900637157.76,6636033.18
대전,201811,210330610848.09,9572381.19
대전,201810,216772824431.16,10272044.79
부산,201811,401496002218.2,16420816.5
서울,201810,2105744959966.39,108635348.27
울산,201812,154928491569.76,5210434.4
전남,201812,187639085709.08,6022065.16
전북,201809,182516941450.52,7353561.54
제주,201809,143506438549.8,4599781.64
충북,201812,247328983749.12,9444740.48
충북,201809,236747985758.99,10161392.52
충북,201810,244173165434.6,10448705.14
강원,201811,238807134950.09,9045466.99
경기,201811,1842894216182.14,84668460.2
경북,201812,263472413369.15,9766189.6
경북,201809,255365304820.92,10434726.68
대구,201812,263969041536.36,10234197.36
대구,201810,241190728617.7,10617717.81
대전,201812,232767110795.6,9509181.2
부산,201809,402676011408.33,16594593.18
부산,201810,409120604947.6,17432606.63
인천,201810,429926882228.36,19945669.04
전남,201809,179848689392.81,6290677.56
제주,201811,134842355972.16,4199065.28
제주,201810,143637123316.14,4559782.77
충남,201812,280943045118.4,10911107.2
충북,201811,230273800304.56,9741616.25
