지역,중분류,기준년월,성별,연령대별,카드이용금액계,카드이용건수계
금산군,제과/커피/패스트푸드,201707,F,50대후,5937120,393.68
서천군,일식/중식/양식,201708,F,30대초,12605450,394.42
청양군,제과/커피/패스트푸드,201708,M,40대후,8709113.4,399.75
아산시,일식/중식/양식,201703,F,70대이상,10854459,400.89
계룡시,일식/중식/양식,201711,M,20대초,7010678,403.5
서천군,일식/중식/양식,201703,F,40대초,16425965.43,405.72
예산군,제과/커피/패스트푸드,201704,F,60대초,6445553.4,412.44
부여군,일식/중식/양식,201702,M,30대후,14052757.6,414.12
금산군,일식/중식/양식,201703,F,40대초,10246845,415.38
예산군,일식/중식/양식,201712,F,30대초,12710984,415.74
계룡시,제과/커피/패스트푸드,201708,F,60대초,4222852.4,415.74
예산군,제과/커피/패스트푸드,201711,F,60대초,5571635.6,419.64
청양군,한식,201709,M,70대이상,19896705,425.79
청양군,한식,201711,F,50대초,20850190,430.4
서산시,제과/커피/패스트푸드,201711,M,70대이상,5787804,430.4
서천군,한식,201712,F,20대초,12540957,431.73
청양군,한식,201712,F,50대후,18862870,437.06
부여군,일식/중식/양식,201701,M,40대후,14687464,440.44
청양군,제과/커피/패스트푸드,201710,M,20대후,5050908,441.15
계룡시,일식/중식/양식,201709,M,20대초,10721700,441.18
계룡시,한식,201704,M,70대이상,11172852.3,446.81
당진시,일식/중식/양식,201705,F,60대후,9939105,450.45
서산시,제과/커피/패스트푸드,201704,F,70대이상,5617040,451.72
부여군,한식,201701,M,70대이상,22624580,454.96
계룡시,일식/중식/양식,201701,F,40대초,12662408,454.96
예산군,일식/중식/양식,201702,F,50대후,11623444,456.96
홍성군,일식/중식/양식,201707,M,60대초,18272604,457.52
계룡시,제과/커피/패스트푸드,201705,M,60대초,4467474,460.35
예산군,일식/중식/양식,201704,M,20대초,8707394,461.54
금산군,일식/중식/양식,201712,F,30대후,13431600,463.71
부여군,일식/중식/양식,201704,M,40대후,14256676,466.45
태안군,일식/중식/양식,201706,F,30대초,19102314,467.1
청양군,제과/커피/패스트푸드,201711,M,30대초,8844935.2,468.06
서산시,제과/커피/패스트푸드,201701,F,60대후,10168888.4,469.48
서천군,제과/커피/패스트푸드,201705,F,20대초,5057514,470.25
청양군,제과/커피/패스트푸드,201704,M,30대초,5868137.4,471.36
서천군,한식,201710,F,60대후,21580020,472.29
예산군,일식/중식/양식,201711,F,50대후,13981006,473.44
계룡시,일식/중식/양식,201707,F,30대후,13266218,478.8
예산군,일식/중식/양식,201705,F,50대초,15486075,480.15
홍성군,한식,201710,F,70대이상,22693275,487.86
서천군,일식/중식/양식,201708,F,40대초,17032015,490.36
태안군,일식/중식/양식,201712,F,20대후,16593356,495.69
금산군,일식/중식/양식,201704,M,60대초,9503305,495.91
금산군,일식/중식/양식,201702,M,50대후,14068180,499.8
홍성군,제과/커피/패스트푸드,201705,F,60대초,8218336.5,504.9
당진시,제과/커피/패스트푸드,201711,M,70대이상,5931450,511.1
금산군,제과/커피/패스트푸드,201711,F,20대후,7024988.8,511.1
계룡시,한식,201702,F,20대후,12336968,514.08
논산시,일식/중식/양식,201702,F,50대후,14028672,514.08
예산군,일식/중식/양식,201712,M,60대초,19374017,517.01
계룡시,제과/커피/패스트푸드,201709,F,50대후,5327864.1,518.13
예산군,제과/커피/패스트푸드,201706,M,60대초,7808510.7,524.19
태안군,한식,201704,F,70대이상,34333175,530.28
서산시,제과/커피/패스트푸드,201712,M,70대이상,6860349.6,538.33
서산시,제과/커피/패스트푸드,201709,F,70대이상,5846866.2,538.65
계룡시,제과/커피/패스트푸드,201712,F,50대후,6160520.6,543.66
태안군,일식/중식/양식,201710,F,50대후,32622783,544.95
서산시,제과/커피/패스트푸드,201701,M,60대후,12447512,546.92
금산군,일식/중식/양식,201702,F,40대후,13875400,547.4
서천군,일식/중식/양식,201704,M,50대후,33432190,554.83
부여군,일식/중식/양식,201701,M,40대초,23531596,556.6
예산군,일식/중식/양식,201708,F,50대초,18129995,564.98
서산시,제과/커피/패스트푸드,201708,M,70대이상,8434671.7,564.98
계룡시,제과/커피/패스트푸드,201710,F,50대후,6765424.5,565.71
서천군,한식,201711,F,20대후,20309500,570.28
계룡시,제과/커피/패스트푸드,201706,F,20대초,4779471,570.9
서천군,제과/커피/패스트푸드,201711,M,50대초,8362456.8,575.66
서산시,제과/커피/패스트푸드,201705,F,60대후,6963907.5,579.15
서천군,일식/중식/양식,201702,M,50대초,23657200,580.72
계룡시,일식/중식/양식,201702,M,50대초,17283560,580.72
천안시,일식/중식/양식,201702,F,70대이상,24894609.6,580.72
서천군,제과/커피/패스트푸드,201710,F,50대초,6240715.5,581.28
서천군,일식/중식/양식,201705,F,40대초,22380435,584.1
계룡시,일식/중식/양식,201710,M,50대초,16916545.5,586.47
태안군,일식/중식/양식,201709,M,60대초,29075301,589.95
계룡시,일식/중식/양식,201710,M,20대초,9465003,591.66
서천군,일식/중식/양식,201708,M,50대후,23526620,596.96
태안군,일식/중식/양식,201710,M,60대초,31282725,602.04
예산군,제과/커피/패스트푸드,201711,M,60대초,9134217.8,602.56
서천군,일식/중식/양식,201709,M,50대후,24352110,605.34
예산군,한식,201711,F,70대이상,16731531,607.94
태안군,제과/커피/패스트푸드,201706,M,50대후,9676236,612.42
청양군,제과/커피/패스트푸드,201710,M,30대후,8849863.44,612.42
예산군,한식,201702,F,60대후,22485764,614.04
부여군,제과/커피/패스트푸드,201702,M,50대초,5595332.4,614.04
금산군,일식/중식/양식,201710,F,30대후,15080583,617.61
보령시,한식,201701,F,60대후,28324164,619.52
부여군,제과/커피/패스트푸드,201712,F,50대후,8766624.1,623.61
서천군,제과/커피/패스트푸드,201705,M,50대초,8468113.5,623.7
계룡시,일식/중식/양식,201712,F,40대후,18295225,628.94
부여군,한식,201705,M,20대초,17071560,633.6
금산군,일식/중식/양식,201705,F,30대후,19688130,633.6
보령시,제과/커피/패스트푸드,201706,F,60대초,7536295.2,638.37
서천군,제과/커피/패스트푸드,201708,M,50대초,8874236.8,639.6
금산군,일식/중식/양식,201707,M,20대후,17952872,649.04
부여군,일식/중식/양식,201708,M,40대후,23029224.4,660.92
당진시,일식/중식/양식,201702,M,60대후,17898076,661.64
공주시,제과/커피/패스트푸드,201711,M,60대초,16072319.6,667.12
아산시,제과/커피/패스트푸드,201709,M,70대이상,8136898.2,677.16
홍성군,일식/중식/양식,201705,F,50대후,39741075,678.15
논산시,제과/커피/패스트푸드,201704,F,60대초,10968449,687.4
청양군,한식,201710,F,40대후,29274195,690.27
당진시,제과/커피/패스트푸드,201712,F,60대후,10757006,698.23
예산군,일식/중식/양식,201702,F,40대초,27427596,699.72
예산군,한식,201708,F,70대이상,27737053.5,703.56
계룡시,제과/커피/패스트푸드,201708,F,20대초,4920496.1,703.56
홍성군,일식/중식/양식,201711,F,50대후,33278043.8,704.78
금산군,제과/커피/패스트푸드,201711,F,20대초,6650164.2,704.78
금산군,제과/커피/패스트푸드,201703,M,30대초,8534320.2,705.18
태안군,일식/중식/양식,201708,F,30대초,23881864.5,708.89
부여군,제과/커피/패스트푸드,201703,M,20대초,5844203.4,710.01
청양군,한식,201710,F,50대후,25555560,711.03
천안시,일식/중식/양식,201704,F,60대후,23535667.65,711.95
금산군,제과/커피/패스트푸드,201709,M,20대후,8720025.3,713.07
서천군,제과/커피/패스트푸드,201703,F,30대초,7820494.5,714.84
태안군,한식,201711,F,70대이상,33113900,715.54
태안군,일식/중식/양식,201706,F,40대초,28226334,726.6
공주시,한식,201702,F,70대이상,17350438,728.28
계룡시,제과/커피/패스트푸드,201702,F,20대후,7432525.8,728.28
서천군,한식,201704,F,20대후,27946247,731.59
천안시,일식/중식/양식,201705,F,60대후,24962355,732.6
예산군,일식/중식/양식,201702,F,40대후,22676164,733.04
계룡시,일식/중식/양식,201703,M,50대초,21982199.4,734.16
예산군,한식,201704,F,70대이상,38039243,736.5
예산군,제과/커피/패스트푸드,201704,M,50대후,14149588.9,736.5
당진시,제과/커피/패스트푸드,201710,F,70대이상,9782215.8,736.98
천안시,일식/중식/양식,201707,F,60대후,21778297.8,739.48
예산군,제과/커피/패스트푸드,201711,M,50대후,11854292,742.44
예산군,제과/커피/패스트푸드,201710,M,50대후,26585048.4,747.36
부여군,한식,201711,F,60대초,32018532,747.82
서천군,한식,201709,F,60대초,29051190,764.37
서천군,한식,201702,M,70대이상,29183560,766.36
홍성군,일식/중식/양식,201703,M,60대후,67510359,767.97
천안시,일식/중식/양식,201709,F,60대후,21716059.5,769.5
서천군,한식,201705,F,20대후,32799195,772.2
보령시,일식/중식/양식,201706,M,60대초,36305607,773.31
태안군,일식/중식/양식,201702,M,30대초,29970626,775.88
서천군,한식,201706,M,20대초,17907057,778.5
천안시,일식/중식/양식,201706,F,60대후,25315029.45,778.5
태안군,일식/중식/양식,201710,F,30대초,29011581,783.69
아산시,일식/중식/양식,201708,M,70대이상,18279235,794.17
아산시,일식/중식/양식,201701,M,60대후,21523964,803.44
태안군,한식,201702,M,60대후,43116080,804.44
태안군,제과/커피/패스트푸드,201701,M,50대초,10817884,808.28
태안군,일식/중식/양식,201701,M,40대초,40870896,817.96
예산군,일식/중식/양식,201704,F,40대후,26232657,819.97
태안군,제과/커피/패스트푸드,201703,F,20대초,7060977,821.1
서천군,일식/중식/양식,201704,M,30대후,26791415,824.88
공주시,일식/중식/양식,201704,M,60대초,23164398,829.79
예산군,제과/커피/패스트푸드,201706,M,50대후,10786273.2,840.78
금산군,제과/커피/패스트푸드,201705,M,20대후,11858071.5,841.5
보령시,일식/중식/양식,201709,M,60대초,53364312,846.45
논산시,일식/중식/양식,201702,F,20대후,26061476,852.04
청양군,한식,201704,M,30대후,34500115,859.25
금산군,일식/중식/양식,201706,M,50대후,22257834,871.92
공주시,일식/중식/양식,201709,F,50대후,21686408.1,872.1
서천군,제과/커피/패스트푸드,201711,F,30대후,10529090.4,876.94
논산시,일식/중식/양식,201707,F,20대초,19561108,877.8
계룡시,제과/커피/패스트푸드,201701,F,20대후,8979506.8,880.88
태안군,제과/커피/패스트푸드,201709,M,50대초,11929815,882.36
부여군,제과/커피/패스트푸드,201707,F,20대초,7029901.2,883.12
공주시,일식/중식/양식,201708,F,50대후,19865443,890.11
청양군,한식,201701,M,40대초,39542800,895.4
서천군,한식,201712,F,30대초,34816626,900.77
태안군,한식,201711,F,20대초,37118234,903.84
천안시,일식/중식/양식,201702,M,70대이상,29934688,904.4
서천군,일식/중식/양식,201709,M,40대초,31877820,908.01
예산군,일식/중식/양식,201702,M,30대초,21946932,928.2
예산군,일식/중식/양식,201709,M,50대초,28897803,933.66
태안군,한식,201711,F,60대초,64519650,936.12
홍성군,일식/중식/양식,201708,F,50대초,30828187,938.08
부여군,제과/커피/패스트푸드,201708,F,20대초,7823960.3,943.41
태안군,일식/중식/양식,201701,M,20대후,28719495.2,943.8
예산군,일식/중식/양식,201705,M,50대초,33224895,950.4
예산군,한식,201712,F,60대후,35194789.5,954.07
태안군,제과/커피/패스트푸드,201708,F,50대후,13341949.4,954.07
홍성군,일식/중식/양식,201704,F,20대후,27734135,957.45
태안군,일식/중식/양식,201711,M,20대후,24127686,957.64
부여군,제과/커피/패스트푸드,201702,F,40대후,11415689.04,961.52
홍성군,일식/중식/양식,201704,M,60대초,74411050,967.27
논산시,일식/중식/양식,201711,F,20대후,25169792,968.4
당진시,한식,201706,F,70대이상,40445670,970.53
예산군,일식/중식/양식,201711,M,50대초,31906466.6,973.78
서천군,제과/커피/패스트푸드,201704,F,30대후,12510336.3,977.09
공주시,일식/중식/양식,201707,F,20대초,17052728,978.88
보령시,제과/커피/패스트푸드,201702,M,50대후,14194224.8,980.56
보령시,일식/중식/양식,201711,F,20대후,35880618.8,984.54
홍성군,일식/중식/양식,201707,F,20대초,23495780,994.84
예산군,제과/커피/패스트푸드,201706,F,20대초,9479586.9,996.48
보령시,일식/중식/양식,201705,M,60대초,51511680,1004.85
금산군,일식/중식/양식,201704,M,40대초,23801225,1006.55
금산군,제과/커피/패스트푸드,201704,F,40대초,13103267.9,1006.55
태안군,일식/중식/양식,201712,M,20대후,33761552.5,1007.37
예산군,일식/중식/양식,201707,M,50대초,23470776,1010.8
금산군,제과/커피/패스트푸드,201707,F,30대초,16359319.2,1010.8
서천군,제과/커피/패스트푸드,201703,M,40대초,14463362.55,1023.96
아산시,제과/커피/패스트푸드,201707,F,60대후,11806782.4,1026.76
아산시,제과/커피/패스트푸드,201711,F,60대후,11441807.4,1027.58
서산시,한식,201703,F,60대후,38043978,1028.79
금산군,일식/중식/양식,201704,M,30대후,23263580,1036.01
서산시,한식,201703,F,70대이상,36644727,1057.77
금산군,한식,201707,M,70대이상,38420242,1058.68
태안군,일식/중식/양식,201706,M,50대초,50284353,1079.52
홍성군,일식/중식/양식,201711,M,50대후,69577388,1081.38
보령시,제과/커피/패스트푸드,201704,F,50대후,13190764.1,1085.11
